Species,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Body
Arabica,Brazil,7.553106061,7.573560606,7.440530303,7.511439394,9.949393939,7.544545455
Arabica,Burundi,7.415,7.46,7.25,7.415,10,7.29
Arabica,China,7.64125,7.625625,7.484375,7.578125,9.91625,7.57375
Arabica,Colombia,7.653060109,7.597103825,7.524699454,7.56,9.952677596,7.609508197
Arabica,Costa Rica,7.671372549,7.537254902,7.534509804,7.573921569,9.908431373,7.53745098
Arabica,Cote d?Ivoire,7.42,7.25,6.83,7,10,7.33
Arabica,Ecuador,7.583333333,7.64,7.553333333,7.693333333,8.723333333,7.83
Arabica,El Salvador,7.674761905,7.654285714,7.567142857,7.59047619,9.808571429,7.606666667
Arabica,Ethiopia,7.896363636,8.009090909,7.893863636,8.043636364,9.863409091,7.924090909
Arabica,Guatemala,7.544861878,7.489005525,7.266850829,7.59640884,9.870883978,7.475745856
Arabica,Haiti,7.153333333,6.998333333,7.111666667,7.126666667,9.111666667,7.276666667
Arabica,Honduras,7.432692308,7.373269231,7.197307692,7.372692308,9.846153846,7.239245283
Arabica,India,7.697857143,7.618571429,7.566428571,7.636428571,7.619285714,7.17
Arabica,Indonesia,7.649,7.573,7.4155,7.491,9.9665,7.6315
Arabica,Japan,7.75,7.75,7.75,7.42,10,8.08
Arabica,Kenya,7.7868,7.7824,7.7132,7.866,9.9732,7.7264
Arabica,Laos,7.503333333,7.5,7.28,7.306666667,10,7.363333333
Arabica,Malawi,7.567272727,7.387272727,7.257272727,7.408181818,10,7.338181818
Arabica,Mauritius,7.25,7.25,7.17,7.17,10,7.25
Arabica,Mexico,7.457584746,7.379025424,7.228050847,7.428347458,9.971779661,7.380466102
Arabica,Myanmar,7.30375,7.3325,7.125,7.40625,10,7.27
Arabica,Nicaragua,7.329230769,7.316923077,7.201923077,7.266538462,9.820384615,7.400769231
Arabica,Panama,7.6675,7.625,7.605,7.705,10,7.5825
Arabica,Rwanda,7.83,7.92,7.75,7.83,9.33,8
Arabica,Peru,7.693,7.658,7.541,7.699,9.866,7.802
Arabica,Philippines,7.364,7.232,7.302,7.266,9.866,7.298
Arabica,Rwanda,7.83,7.92,7.75,7.83,9.33,7.75
Arabica,Taiwan,7.5336,7.4636,7.395466667,7.415466667,9.9644,7.45
Arabica,"Tanzania, United Republic Of",7.57125,7.42975,7.425,7.5,10,7.479
Arabica,Thailand,7.4840625,7.528125,7.4734375,7.5971875,9.958125,7.5521875
Arabica,Uganda,7.884166667,7.752777778,7.6225,7.708611111,9.363333333,7.688846154
Arabica,United States,7.834,7.992,7.85,7.935,9.5,7.9375
Arabica,United States (Hawaii),7.572465753,7.576438356,7.502739726,7.615479452,9.652465753,7.625753425
Arabica,United States (Puerto Rico),7.6475,7.54,7.48,7.6025,9.8325,7.665
Arabica,Vietnam,7.38625,7.375,7.1975,7.3625,9.58375,7.631428571
Arabica,Zambia,7.67,7.08,7.42,7.33,10,7.75
Robusta,Ecuador,7.625,7.625,7.54,7.665,8.085,5.125
Robusta,India,7.7,7.640769231,7.596923077,7.710769231,7.692307692,7.699230769
Robusta,Uganda,7.832,7.758,7.674,7.716,7.708,7.801
Robusta,United States,7.625,7.415,7.295,7.42,7.5,7.46
Robusta,Vietnam,6.75,6.67,6.5,6.83,6.67,6.92
